# Languages settled by hand. Key = author|title|year, each part folded to lower case letters and
# digits (ia_lookup.norm), so it survives re-ordering, re-casing and a rebuilt database.
# key<TAB>language<TAB>title (the title is only there to read by)
gilbert friedrich robert|mnemotechnisches taschenlexikon der chinaschrift|1933	German	Mnemotechnisches Taschenlexikon der Chinaschrift.
glucker a|waffenlos siegen jiu jitsu jiu do als selbstverteidigung und sport|1934	German	Waffenlos siegen! Jiu-jitsu (Jiu-do) als Selbstverteidigung 
gobineau comte de|trois ans en asie tome 1 le japon|1922	French	Trois ans en Asie. Tome 1: Le Japon.
goncourt edmond louis antoine huot de|collection des goncourt arts de l extreme orient|1897	French	Collection des Goncourt. Arts de l'Extreme Orient...
goncourt edmond louis antoine huot de|hokusai facsimile du portrait d hokusai octogenaire peint par sa fille oyei|1896	French	Hokusai. Facsimile du portrait d'Hokusai octogenaire peint p
gookin frederick william|descriptive catalogue of japanese colour prints the collection of alexander g mosle|1927	English	Descriptive catalogue of Japanese colour prints, the collect
goudareau g|excursions au japon|n d	French	Excursions au Japon.
greater east asia war inquiry commission|the american british challenge directed against nippon|1943	English	The American-British challenge directed against Nippon.
griffis william elliot|dux christus au outline study of japan|1904	English	Dux Christus. Au outline study of Japan.
griffis william elliot|the mikado s empire|1876	English	The Mikado's Empire (皇國).
griffis william elliot|the mikado s empire|1877	English	The Mikado's Empire (皇國).
griffis william elliot|the mikado s empire|1886	English	The Mikado's Empire (皇國).
griffis william elliot|the mikado s empire|1903	English	The Mikado's Empire (皇國).
griffis william elliot|the mikado s empire|1913	English	The Mikado's Empire (皇國).
griffis william elliot|the religions of japan from the dawn of history to the era of meiji|1895	English	The religions of Japan, from the dawn of history to the era 
griffis william elliot|the religions of japan from the dawn of history to the era of meiji|1901	English	The religions of Japan, from the dawn of history to the era 
groot gerard|besonderheiten der ryukyusprache|1940	German	Besonderheiten der Ryūkyūsprache
grosse ernst|die ostasiatische tuschmalerei|1923	German	Die ostasiatische Tuschmalerei
grousset rene|histoire de l asie|1921 22	French	Histoire de l'Asie
grousset rene|le japon|1921 22	French	Le Japon
grunfeld e|lorenz von stein und japan|1913	German	Lorenz von Stein und Japan
guerville a b de|au japon|1904	French	Au Japon.
guerville a b de|au japon|1906	French	Au Japon.
h rlyck helene|frida i japan fortaelling for pigeb rn|19	Danish	Frida i Japan; Fortaelling for pigebørn.
haas hans|japans zukunftsreligion|1907	German	Japans Zukunftsreligion.
haguenauer m c|sens et origine probable de l expression sho en so en|1938	French	Sens et origine probable de l'expression Sho-en (So-en)
hammitzsch horst tr|ein reisetagebuch des matsuo basho|1936	German	Ein Reisetagebuch des Matsuo Bashō
hanson lisbeth|det leende nippon|1936	Swedish	Det leende Nippon.
harada jiro|the shosoin an eight century repository|1950	English	The Shôsôin; an eight century repository.
harte van tecklenburg j j l tr|het burgerlijk wetboek van het keizerrijk japan|1903	Dutch	Het burgerlijk wetboek van het Keizerrijk Japan.
haushofer karl|mutsuhito kaiser von japan|1933	German	Mutsuhito: Kaiser von Japan.
hayashi hiroyuki|the story of nippon|1900 08	English	The story of Nippon.
hayashide kenjiro|epochal journey to nippon diary of one accompanying h m the emperor|1938	English	Epochal journey to Nippon; diary of one accompanying H. M. t
hearn lafcadio|complete lectures on poetry ed by ryuji tanabe teisaburo ochiai and ichiro nishizaki|1934	English	Complete lectures on poetry. Ed. by Ryuji Tanabé, Teisaburo 
hearn lafcadio|complete lectures on poets ed by ryuji tanabe teisaburo ochiai and ichiro nishizaki|1934	English	Complete lectures on poets. Ed. by Ryuji Tanabé, Teisaburo O
